record_id,item,category,e_waste,hazard_level,recyclable,disposal_method,campus_location,instruction,expected_lifespan_years,replacement_period_years,life_status,reuse_possible,reuse_method
181,Plastic Bottle,Plastic,No,Low,Yes,Plastic recycling,Main Block,Rinse if required,Not Applicable,Not Applicable,Not Applicable,Yes,Reuse where appropriate or send for plastic recycling
182,Charger,Small Electronics,Yes,Moderate,Yes,E-waste collection,Hostel B,Don't put in general waste,3-5 years,3-5 years,Long Life,Yes,"Reuse, donate or refurbish if working"
183,Food Wrapper,General Waste,No,Low,No,General waste,Library,Do not mix with e-waste,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
184,Remote Control,Small Electronics,Yes,Unknown,Yes,E-waste collection,Library,Remove batteries,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
185,Monitor,IT Equipment,Yes,Moderate,Yes,E-waste collection,Unknown,Do not break screen,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
186,Cardboard,Paper,No,Low,Yes,Paper recycling,Parking Area,Keep dry,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
187,Food Wrapper,General Waste,No,Low,Unknown,General waste,Student Centre,Do not mix with e-waste,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
188,Paper,Paper,No,Low,Yes,Paper recycling,Computer Lab,Keep dry,Not Applicable,Not Applicable,Not Applicable,Yes,Reuse or send for paper recycling
189,Earphones,Small Electronics,Yes,Unknown,Yes,E-waste collection,Computer Lab,Keep wires intact,1-3 years,1-3 years,Medium Life,Yes,Reuse or donate if working
190,CFL,Lighting,Yes,High,Yes,Specialized collection,Admin Block,Do not break,1-2 years,1-2 years,Short Life,No,Send for safe e-waste recycling
191,Battery,Battery,Yes,High,Yes,Battery collection,Student Centre,Do not puncture,2-4 years,2-4 years,Medium Life,No,Recycle through authorized battery/e-waste collection
192,Power Bank,Battery,Yes,High,Yes,Battery collection,Engineering Block,Do not puncture,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
193,Cardboard,Paper,No,Low,Yes,Paper recycling,Engineering Block,Keep dry,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
194,Electric Cable,Small Electronics,Yes,Low,Yes,E-waste collection,CSE Lab,Keep separate,2-5 years,2-5 years,Medium Life,Yes,Reuse or donate if working
195,Electric Cable,Small Electronics,Yes,Low,Yes,E-waste collection,Student Centre,Keep separate,2-5 years,2-5 years,Medium Life,Yes,Reuse or donate if working
196,Food Wrapper,General Waste,No,Low,No,General waste,Main Block,Do not mix with e-waste,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
197,Router,Networking,Yes,Low,Yes,E-waste collection,Science Block,Reset before disposal,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
198,Glass Bottle,Glass,No,Low,Yes,Glass recycling,Computer Lab,Do not break,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
199,Aluminium Can,Metal,No,Low,Yes,Metal recycling,Student Centre,Rinse if required,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
200,CFL,Lighting,Yes,High,Yes,Specialized collection,Hostel A,Do not break,1-2 years,1-2 years,Short Life,No,Send for safe e-waste recycling
